"command description","command description","command description","Serial port commands","Serial port commands","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions","I2C Instructions",
"command description","command description","command description","Serial port command (hex format)","Remark","Command Header","Command Header","Command Header","Reserved seat","Prameters1","Prameters1","Prameters1","Prameters1","Prameters2","Prameters2","Prameters2","Prameters2","Length of the parameter in the receipt","Length of the parameter in the receipt","Reserved, write a fixed value of 0x0000","Reserved, write a fixed value of 0x0000","CRC check result of instruction data part","CRC check result of instruction data part","Instruction data part (merged)"
"Command Category","Command Name","Command Function/Settings",,,"I2C Command Class","I2C Module Command Index","I2C SubCmd","I2C reserved","I2C Para1_0","Para1_1","Para1_2","Para1[3]","Para2[0]","Para2[1]","Para2[2]","Para2[3]","Len[0]","Len[1]",,,,,
"Video output related","YUV format","Set-uyvy","55 43 49 12 00 10 03 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 3F 86",,"0x10","0x03","0x4D","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x3F","0x86","10 03 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 3F 86"
"Video output related","YUV format","Setting-vyuy","55 43 49 12 00 10 03 4D 01 00 00 00 00 00 00 00 00 00 00 00 00 5C C3",,"0x10","0x03","0x4D","0x01","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x5C","0xC3","10 03 4D 01 00 00 00 00 00 00 00 00 00 00 00 00 5C C3"
"Video output related","YUV format","Setting-yuyv","55 43 49 12 00 10 03 4D 02 00 00 00 00 00 00 00 00 00 00 00 00 F9 0C",,"0x10","0x03","0x4D","0x02","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0xF9","0x0C","10 03 4D 02 00 00 00 00 00 00 00 00 00 00 00 00 F9 0C"
"Video output related","YUV format","Setting -yvyu","55 43 49 12 00 10 03 4D 03 00 00 00 00 00 00 00 00 00 00 00 00 9A 49",,"0x10","0x03","0x4D","0x03","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x9A","0x49","10 03 4D 03 00 00 00 00 00 00 00 00 00 00 00 00 9A 49"
"Video output related","YUV format","Get","55 43 49 12 00 10 03 8C 00 00 00 00 00 00 00 00 00 01 00 00 00 2B F7",,"0x10","0x03","0x8C","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x00","0x01","0x00","0x00","0x00","0x2B","0xF7","10 03 8C 00 00 00 00 00 00 00 00 00 01 00 00 00 2B F7"
